"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 14, 2017","2.69","2.80","2.80","2.67","103.64K","-3.93%"
"Feb 13, 2017","2.80","2.78","2.80","2.75","49.75K","1.82%"
"Feb 10, 2017","2.75","2.69","2.81","2.69","144.67K","3.38%"
"Feb 09, 2017","2.66","2.75","2.82","2.65","393.66K","-2.21%"
"Feb 08, 2017","2.72","2.61","2.74","2.60","121.11K","3.82%"
"Feb 07, 2017","2.62","2.70","2.70","2.56","119.43K","-4.38%"
"Feb 06, 2017","2.74","2.65","2.74","2.65","107.53K","3.40%"
"Feb 03, 2017","2.65","2.63","2.65","2.63","73.55K","0.38%"
"Feb 02, 2017","2.64","2.62","2.65","2.62","81.16K","0.76%"
"Feb 01, 2017","2.62","2.65","2.65","2.61","70.46K","-1.13%"
"Jan 31, 2017","2.65","2.64","2.65","2.63","19.58K","0.00%"
"Jan 30, 2017","2.65","2.71","2.77","2.65","105.96K","-2.21%"
"Jan 27, 2017","2.71","2.69","2.72","2.69","55.23K","2.65%"
"Jan 25, 2017","2.64","2.70","2.71","2.64","91.64K","-1.12%"
"Jan 24, 2017","2.67","2.68","2.70","2.66","36.02K","2.69%"
"Jan 23, 2017","2.60","2.71","2.74","2.59","161.43K","-4.06%"
"Jan 20, 2017","2.71","2.75","2.82","2.71","63.40K","-1.45%"
"Jan 19, 2017","2.75","2.65","2.79","2.65","96.58K","3.77%"
"Jan 18, 2017","2.65","2.67","2.80","2.64","134.09K","-0.75%"
"Jan 17, 2017","2.67","2.75","2.80","2.66","114.77K","-1.84%"
